RCP_SNO,CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_TIME_NM,RCP_PARTS_DTLS,INFO_NA,INFO_PRO,INFO_FAT,INFO_CAR,INFO_ENG,RCP_NA_TIP,MANUAL01,MANUAL02,MANUAL03,MANUAL04,MANUAL05,MANUAL06
55,누룽지과자,굽기,쌀,밥/죽/떡,30분이내,"밥 20g, 달걀흰자 20g, 밀가루 8g, 식용유 2g, 땅콩 10g, 건포도 10g, 호두 12g, 딸기잼 40g",62,8.4,14.9,48,344.4,,"1. 찬밥에 달걀흰자, 밀가루를 넣고 되직하게 반죽한다.",2. 1cm두께로 민 뒤 둥근 모양 또는 하트 모양으로 만든다.,"3. 땅콩, 호두는 잘게 다진다.","4. 팬에 식용유를 넣고 빚어 놓은 밥을 앞, 뒤로 노릇하게 굽는다.",5. 구워진 밥 과자 윗면에 딸기잼을 바른다.,"6. 건포도, 호두, 땅콩을 고루 얹어준다."
56,토마토김치,무침,채소류,메인반찬,30분이내,"방울토마토 200g, 영양부추 20g, 양파 40g, 청고추 15g, 홍고추 15g
양념 : 바나나 40g, 배 40g, 고춧가루 15g, 매실청 10g, 간편 어간장 15g
통깨 2g, 다진마늘 15g, 참기름 5g, 젓갈 5g",109.5,3.8,1.1,13.8,80.2,"김치 양념으로 나트륨 배출에 도움을 주는 바나나를 이용하였으며, 바나나를 이용해 단맛을 높여 주어 소금의 사용량을 줄일 수 있다.",1. 토마토는 먹기 좋은 크기로 잘라준다.,"2. 청고추, 홍고추, 양파는 채 썰고 부추는 먹기
좋게 잘라준다.","3. 바나나, 배, 젓갈을 갈아 준 뒤 고춧가루와
섞어준다.","4. 만들어진 국물에 나머지 재료를 넣고 최종
김치 국물을 만들어준다.",5. 국물에 영양부추만 뺀 재료를 넣고 버무려준다.,6. 마지막에 영양부추를 넣어 김치를 완성한다.
57,가지볶음밥,볶음,채소류,밥/죽/떡,10분이내,"재료 단호박(100g), 양파(30g), 석박지(35g), 파프리카(40g), 가지(90g)
두부(50g), 밥(180g), 세발나물(10g)
양념 다진 마늘(5g), 저염된장(12g), 후춧가루(0.3g), 들기름(4g)",505.1,3.33,1.14,20.15,644.9,"저염된장을 사용해 염도를 낮추고, 칼륨 함량이 높은 가지와 단호박을 사용해
체내 나트륨 배출을 돕는다.",1. 단호박은 삶아 으깬다.,"2. 양파, 석박지, 파프리카, 가지는 깍둑
썰고, 두부는 으깬다.","3. 팬에 다진 마늘, 양파, 석박지를 넣어
볶다가 두부를 넣고 수분이 없어질
때까지 볶다가 가지, 파프리카도
넣어 볶는다","4. 밥과 저염된장, 후춧가루를 넣고
볶다가 들기름을 넣어 한 번 더
볶는다.","5. 그릇에 담고 으깬 단호박과
세발나물을 곁들여 마무리한다.",
58,채소초밥,굽기,채소류,밥/죽/떡,15분이내,"쌀 40g, 현미 30g, 현미찹쌀 5g, 애호박 20g, 새송이버섯 20g, 우엉 20g, 적파프리카 15g, 황파프리카 15g, 주황파프리카 15g, 식초 2.5g, 설탕 2g, 파래김 1g, 미향 1g, 레몬 0.3g, 건다시마 0.1g",144.48,7.59,1.37,87.64,393.26,레몬을 넣어 상큼하게 만든 배합초로 다른 양념 없이도 맛있게 먹을 수 있어요.,"1. 쌀, 현미, 현미찹쌀은 물에 불린 뒤 고슬고슬하게 밥을 짓는다.","2. 분량의 식초, 설탕, 다시마, 레몬, 미향을 넣고 초밥용 배합초를 만들어 밥과 섞는다.",3. 우엉은 0.5cm 두께로 슬라이스 한 뒤 끓는 물에 데쳐 팬에 굽는다.,"4. 애호박, 파프리카는 초밥 크기로 썰어 소금물에 절인 뒤 팬에 굽는다.","5. 밥을 초밥모양으로 길쭉하게 만든 뒤 파프리카, 우엉, 버섯, 애호박을 올려 초밥을 만든다.",6. 길게 썬 파래김으로 채소가 고정되도록 밥을 감싼다.
59,두부스테이크,굽기,콩/견과류,메인반찬,60분이내,"두부(200g), 양파(30g), 새송이버섯(1개), 달걀(1개), 케일(1장),
당근(20g), 토마토(100g), 칵테일새우(30g), 레몬(1/4개),
파인애플(50g), 마늘(10g), 올리브오일(20g), 소금(0.2g)",60.7,19,22,8.7,308.8,파인애플과 올리브오일을 섞어 만든 소스는 새콤달콤해서 소금을 사용하지 않아도 맛있어요.,"1. 새우, 양파, 당근, 새송이버섯은
입자있게 다진다.",2. 두부는 곱게 으깬다.,"3. ?번과 으깬 두부, 소금, 달걀을 골고루
섞는다.","4. 파인애플을 넣어 곱게 갈아
올리브오일을 섞어 소스를 만든다.",5. 으깬 두부를 원형으로 만든다.,"6. 팬에 기름을 두르고 두부와 토마토를
굽고, 접시에 케일을 깔고 그 위에
두부와 토마토를 올린 뒤
파인애플소스를 올린다."
60,연어스테이크,굽기,기타,메인반찬,10분이내,"연어 150g, 건조다시마 사방 10cm 1장, 잎녹차 5g, 브로콜리 15g, 호두10g
귀리 20g, 쌀 20g, 미소된장 5g, 흰후추 1g, 화이트와인 15g,, 생크림 50g
수제조미료 10g, 닭육수 150g, 버터 5g",362.3,23.3,26.1,31.1,487.8,연어에 다시마의 자체 염을 염지하여 맛과 풍미를 높였다.,"1. 연어는 불려준 다시마에 싸주어 24시간 염지
시켜준다.",2. 잎 녹차는 물에 불려준다.,"3. 뒤 수분을 빼주고 팬에 올려서 연어를 약불
에서 구워내 준다.","4. 브로콜리, 호두도 먹기 좋게 잘라준다.",5. 귀리와 쌀은 1시간정도 불려준다.,"6. 닭 육수와 미소된장을 넣어 볶아주다가 불린
쌀을 넣어 볶아주어 리조또를 완성하고 접시에
리조또를 담고 구운 연어를 올려 완성한다."
61,새우완자탕,끓이기,해물류,국/탕,30분이내,"새우(5마리), 청경채(20g), 달걀(2개), 치킨육수(200g),
전분(30g), 후춧가루(0.01g), 요리술(20g), 소금(0.2g)",141.6,12.2,1.3,13.2,13.4,새우로 완자를 만들어 소금을 적게 넣어도 싱겁지 않고 맛있게 먹을 수 있어요.,"1. 새우는 내장을 제거 하고 껍질을 벗겨
깨끗이 씻는다.","2. 다진 새우에 전분, 후춧가루, 달걀흰자
및 요리술을 섞는다.","3. 반죽새우를 잘 치대어 완자로 만든 후
치킨 육수에 넣고 끓인다","4. 청경채는 깨끗이 씻어 반으로 길게
가른다.","5. 달걀은 황백으로 나눠 지단을 부쳐
마름모꼴로 썬다.","6. 완자가 익으면 물 녹말을 한 수저 넣고
청경채를 넣고 한소끔 끓인 뒤 그릇에
담고 황백지단을 올린다."
62,안심스테이크,기타,기타,기타,60분이내,"안심 160g, 아스파라거스 60g, 당근 25g, 감자 60g, 호두 40g
소스 : 망고 150g, 블루베리잼 30g, 다진마늘 15g, 버터 15g, 포도주 15g
올리고당 15g, 흰후추 1g, 볶은소금 1g",118.7,13.6,13.1,16.7,238.6,"호두를 다져서 소스에 발라주어 씹으면 씹을수록 육즙과 만나 고소함을 더해 주었고, 망고와 블루베리잼을 사용해 달콤하면서 풍미를 더해 짠맛을 대체하였다.","1. 망고를 먹기 좋은 크기로 자르고 소스재료로
소스를 만들어준다.",2. 호두를 곱게 다져준다.,"3. 안심에 만들어진 소스를 발라주고 곱게 다진
호두가루를 발라준다.","4. 감자, 당근, 아스파라거스는 먹기 좋은 크기로
잘라서 버터에 볶아준다.",5. 호두를 발라준 안심을 구워준다.,"6. 남은 망고소스를 다시 졸여서 구워진 안심
위에 뿌려주고 볶은 채소랑 완성한다."
63,쌈밥,끓이기,돼지고기,찌개,,"밥 140g, 쇠고기다진것 15g, 후춧가루 0.01g, 참기름 2g, 근대 20g, 쌈다시마 15g, 양배추 20g, 케일20g, 앤다이브 20g, 깻잎 10g, 미나리 1g, 오징어 10g [소스 소개] 저나트륨 양념간장:간장 6g, 물 30g, 홍고추 3g, 청고주 2g<br />저나트륨 초고추장:고추장 1g, 식초 0.5g,설탕 0.5g,사이다 0.5g",558,13.3,3.5,57.5,315.1,재움장의 간장은 숨만 죽이는 정도로 절여지도록 하기 위한 것이다.,"1. 고슬고슬하게 지은밥에 참기름을 섞고 다진 소고기는 후춧가루, 참기름에 무친 뒤 볶아서 밥과 섞어 주먹밥을 만든다.","2. 근대는 데친 뒤 소금, 다진 마늘, 참기름으로 무친다.",3. 쌈다시마는 물에 헹군 뒤 끓는 물에 파랗게 데쳐 6cm폭으로 자른다.,"4. 케일, 앤다이브는 씻어서 물기를 빼고 깻잎은 저나트륨 양념간장에 재운다.",5. 미나리와 오징어는 손질하여 살짝 데치고 오징어는 얇게 저며 썬다.,"6. 1의 주먹밥을 준비한 각각의 재료로 말아 싼 다음 쌈장, 저나트륨 초고추장을 올려 마무리 한다."
64,맥적구이,굽기,돼지고기,메인반찬,15분이내,"돼지고기(120g), 생강(10g), 소금(0.2g), 후춧가루(0.02g)
저염간장(20g), 정종(10g), 설탕(20g), 대파(10g), 마늘(20g)
양파(20g), 참기름(5g), 통깨(3g), 새송이버섯(20g)
표고버섯(20g), 가지(20g), 홍피망(20g)
- 된장소스 : 된장(10g), 마요네즈(20g), 생크림(10g)
다진 땅콩(20g)",551.7,30.7,30.5,17.6,467.7,된장에 마요네즈와 생크림을 넣어 만든 맥적 소스는 된장의 짠맛을 감소시켜 나트륨 함량을 낮출 수 있었어요.,"1. 돼지고기에 생강즙과 소금, 후춧가루를
넣어 숙성한다.","2. 숙성된 돼지고기에 간장과 정종, 설탕,
파, 마늘, 양파, 참기름, 통깨 넣어
골고루 양념한다.","3. 새송이, 가지, 표고, 홍피망을 편으로
썰어 준비한다.","4. 된장에 마요네즈와 생크림, 다진
땅콩을 섞어놓는다.","5. 새송이와 가지, 표고, 홍피망은 팬에서
굽는다.","6. 팬이 따끈해지면 양념한 돼지고기를
구워 접시에 담고 그 위에 된장 소스를
올리고, 구워낸 채소를 다시 위에 올려
완성한다."
65,대구지리탕,끓이기,기타,국/탕,,"재료 대구(150g), 미나리(15g), 청양고추(1g), 붉은 고추(1g)
콩나물(25g), 쑥갓(10g)
반죽 쑥가루(10g), 밀가루(20g)
육수 다시마(1g), 북어(15g), 무(30g), 물(500g)
양념 다진 마늘(10g), 다진 생강(3g)",277.3,7.19,1.15,3.87,267.7,칼륨이 풍부한 쑥을 넣어 나트륨 배출을 돕는다.,"1. 대구는 비늘과 내장을 제거하고
흐르는 물에 씻어 비린 향을 없앤다.","2. 미나리는 6cm 길이로 썰고,
청양고추, 붉은 고추는 어슷하게
썰고, 콩나물, 쑥갓을 씻어 준비한다.","3. 쑥가루와 밀가루를 섞고 물(15g)을
조금씩 넣어가며 매끈해지도록
반죽한 뒤 30분~1시간 정도
숙성시킨다.","4. 냄비에 육수 재료를 넣어 10분간
끓여 육수를 만든다.","5. 다진 마늘과 생강을 넣고 향이
우러나면 대구를 넣은 뒤 대구가
어느 정도 익으면 콩나물을 넣고,
끓어오르면 수제비 반죽을 떼어
넣는다.","6. 청양고추, 붉은 고추를 넣고 한소끔
더 끓이다가 미나리와 쑥갓을
얹은 뒤 바로 불을 꺼 마무리한다."
